0xA17CC4;0xEA79;DESKTOP_PHONEBOOK_ICN
0xC7E13C;0xEA7A;DESKTOP_PHONEBOOK_SELECTED_ICN
0x51E40F;0xEA7B;DESKTOP_SAT_ICN
0xE1D3C0;0xEA7C;DESKTOP_SAT_SELECTED_ICN
0xE9D126;0xEA7D;DESKTOP_SETTINGS_ICN
0xEC99AE;0xEA7E;DESKTOP_SETTINGS_SELECTED_ICN
0x52240B;0xEA7F;DESKTOP_WAP_ICN
0x11D2C0;0xEA80;DESKTOP_WAP_SELECTED_ICN
0x54A227;0xEA81;DIRECT_LINK_GENERIC_ICN
0xDA96E7;0xEA82;DIRECT_LINK_SONY_ERICSSON_ICN
0xC9D754;0xEA83;DIVERTED_ICN
0xF1FCE9;0xEA84;DL_DOWNLOAD_ICN
0x1A400E;0xEA85;DOJA_NORMAL_RUNNING_ICN
0xBDDBF4;0xEA86;DOJA_NOT_STANDBY_LIST_ICN
0xD4F3C7;0xEA87;DOJA_SSL_LIST_ICN
0xE05C90;0xEA88;DOJA_STANDBY_LIST_ICN
0xA52032;0xEA89;DOJA_STANDBY_RUNNING_ICN
0xC4CD63;0xEA8A;DOJA_STANDBY_RUNNING_LIST_ICN
0x91F50A;0xEA8B;DOT_ICN
0xFEE5FB;0xEA8C;E_MELODY_ICN
0xD658F0;0xEA8D;E_MELODY_LARGE_ICN
0x17FE14;0xEA8E;E_MELODY_MEDIUM_ICN
0x958C82;0xEA8F;EC_NEW_MAIL_ICN
0x10CF71;0xEA90;EC_NEWER_MAILS_ICN
0x10399C;0xEA91;EC_OLDER_MAILS_ICN
0xC830A0;0xEA92;EC_PRIORITY_HIGH_ICN
0x0805E9;0xEA93;EC_PRIORITY_LOW_ICN
0x862599;0xEA94;EC_PRIORITY_NORMAL_ICN
0x0C861A;0xEA95;EC_READ_DELETE_MAIL_ICN
0x3E22A7;0xEA96;EC_UNREAD_DELETE_MAIL_ICN
0x0A501C;0xEA97;EMAIL_MENU_DRAFTS_ICN
0xFF5B38;0xEA98;EMAIL_MENU_INBOX_ICN
0x09354C;0xEA99;EMAIL_MENU_MANAGE_ACCOUNTS_ICN
